Voter ID;Jan Sedláček (stud PrF MU);David Vyhlídal (stud PrF MU);Šárka Vyskočilová (stud PrF MU);Kryštof Zika (stud PrF MU);Kateřina Audyová (stud PrF MU);Matyáš Ličeník (stud PrF MU);Barbora Bulánková (stud PrF MU);Lucie Králová (stud PrF MU);Tomáš Neugebauer (stud PrF MU);Martin Plášek (stud PrF MU);Karolína Šandorová (stud PrF MU);Jan Zubík (stud PrF MU);Roman Karchut (stud PrF MU);Nevenka Petříčková (stud PrF MU);Martin Zigmund (stud PrF MU, ESF MU);Tereza Vodičková (stud PrF MU);Robin Kašpar (stud PrF MU);Boris Šabík (stud PrF MU);Adam Jelínek (stud PrF MU);Adam Jasiok (stud PrF MU);Jan Dzuba (stud PrF MU);Jakub Nováček (stud PrF MU);Jan Schraml (stud PrF MU);Dominik Kalouda (stud PrF MU);Albert Jilg (stud PrF MU);Vítek Souchop (stud PrF MU);Kristýna Bohlová (stud PrF MU);Tomáš Pospíšil (stud PrF MU)
huyzyutqaa;;;;;;;;;;;;;;;;;;;;;;;X;;;;;
hv1o1smsyh;;;;X;;;;;;X;;;;;X;X;;;;;X;;;X;;X;;
hx053w2u3s;;;;;;X;;;X;;;;X;;X;;;;;X;;;;X;;X;;
h0jlde1655;;;;X;;;;;;;;;;X;;;;;;;;;;;;;;
h4zza27byu;;;;X;;;;;;;;;;;;;;;;;;;;;;;;
h45nzpippf;;;;;;;;;;;;;;;;X;;;X;;;;;;;X;;
h5lv2wgtbb;;;;X;X;;X;;;;;;;;;;;;;;;;;;;;;
h54q7qm7lh;;;;;;;;;;;;;;;X;;;X;;X;;;X;;;;;
h6ebaagqs4;;;;;;;;;;X;;;;;;;;;;;;;;;;;;
h6iqst9djk;;;;;;;;;;;;;;;;;;;;;;;;X;;;;
h6ponu5jfk;;;X;;X;;X;;;X;X;X;;X;;X;;;;;;;;;;;;
h6zl0sfrtu;;X;;;X;X;X;X;X;;;;;;;;;;;;;;;X;;X;;
h9ys8sce7g;;;;X;;;;;;X;;;;X;X;;;;X;;;X;X;;X;;;
ch6fshs63i;;;;X;X;;;;X;;;;;;;;;;;;;;;;;;;
iafts92ioc;X;X;;;;;;;X;;;;;;;X;;;X;;;;;;;;;
idk17tq2ez;;;X;;;;;;;;X;;;X;;;;;;;;;;;;;;X
iih526kajl;;;;;;;;;;;;;;X;;;;;;;;;;;;;;
ijrrnky4wr;;;;;;;;;;;;;;;X;;;;X;;;;;;;;;
ilho49q7rc;;;;;;;;;;;X;;;;;;;;;;;;;;;;;
imkun42kdv;;;;;;;;;X;X;X;;;X;;X;;;;X;;;;;;;X;
ipbd00bkpl;X;;;;;;;;;;;;;;;;;;;;;;;;;;;
iptuuspp2f;;;;;;;;;;X;X;;;;X;;;;;;;X;X;X;X;;;
iqux6jm0ew;;;;;;;;;;;;;;;;X;X;;;;;X;;X;;;;
is63gttexr;;X;;X;;;;;;;;;;;;;;;;;;;;X;;;;
iwxxvfyt9q;;;X;;X;;X;;;;X;;;X;;;;;;;;;;;;;;
izk2mk5u63;;;;;;;;;;;;;;X;;;;;;;;;;;;;;
i0qelaxcia;;;;X;;;;;;;X;;;X;;;X;;;;X;;;;;;X;
i1n8prod5z;;;;X;X;;;;;X;X;;;;;X;;;;;;;;;;;;
